cell_idx,plot_id,lat,lon,elevation_m,nlcd_class,is_wetland,is_forest,X_intercept,X_elev_z,X_wetland,X_forest,W_intercept,W_elev_z
0,UNDE_066,46.249945,-89.540863,514.3,mixedForest,0,1,1.0,0.114323,0.0,1.0,1.0,0.114323
1,UNDE_067,46.228742,-89.49814,512.5,woodyWetlands,1,0,1.0,-0.259825,1.0,0.0,1.0,-0.259825
2,UNDE_068,46.209603,-89.492758,509.2,woodyWetlands,1,0,1.0,-0.945764,1.0,0.0,1.0,-0.945764
3,UNDE_070,46.243091,-89.509409,514.0,woodyWetlands,1,0,1.0,0.051965,1.0,0.0,1.0,0.051965
4,UNDE_071,46.246368,-89.547703,510.1,woodyWetlands,1,0,1.0,-0.75869,1.0,0.0,1.0,-0.75869
5,UNDE_072,46.235464,-89.564303,512.9,woodyWetlands,1,0,1.0,-0.176681,1.0,0.0,1.0,-0.176681
6,UNDE_073,46.245034,-89.519234,516.8,deciduousForest,0,1,1.0,0.633974,0.0,1.0,1.0,0.633974
7,UNDE_074,46.216675,-89.50741,515.3,deciduousForest,0,1,1.0,0.322183,0.0,1.0,1.0,0.322183
8,UNDE_075,46.259156,-89.527305,507.6,woodyWetlands,1,0,1.0,-1.27834,1.0,0.0,1.0,-1.27834
9,UNDE_076,46.219949,-89.517762,524.8,deciduousForest,0,1,1.0,2.296856,0.0,1.0,1.0,2.296856
