"time_idx","date_CDT","day_of_year","obs_mean_YC","pp_mean_N_2.5","pp_mean_N_50","pp_mean_N_97.5"
1,2024-04-11,102,0,109.2275,371.65,781.8
2,2024-04-18,109,0,271.95,931.75,1948.5925
3,2024-05-02,123,0,524.4875,1679.15,3685.3475
4,2024-05-15,136,0,901.1825,2595.2,6151.1925
5,2024-05-30,151,0,1268.9825,4150.1,10469.855
6,2024-06-13,165,176.8,1559.8025,5731.55,15345.3425
7,2024-06-27,179,1151.4,1845.6075,8465.3,23438.4325
8,2024-07-11,193,2838,2169.17,11089.2,31583.1
9,2024-07-26,208,1226.4,2800.895,13733.15,38589.28
10,2024-08-08,221,117.6,3372.4725,16161.9,46793.62
11,2024-08-21,234,40.8,3515.225,19320,53762.2075
12,2024-09-05,249,3,3591.27,22321.05,72529.34
13,2024-09-19,263,0.7,3788.5675,24835.45,95938.34
14,2024-10-03,277,0.3,4066.0075,27319.3,123202.4675
15,2024-10-17,291,NA,4320.1325,28924.9,142272.715
16,2024-10-30,304,0,4597.9625,31216.2,168034.3
