"time_idx","date_CDT","obs_mean_YC","pp_mean_N_2.5","pp_mean_N_50","pp_mean_N_97.5"
1,2024-04-11,0,89.48,329.3,345.2625
2,2024-04-18,0,233.2325,953.25,987.32
3,2024-05-02,0,455.8475,2069.7,2142.31
4,2024-05-15,0,818.2775,3966.75,4111.4475
5,2024-05-30,0,1357.6625,7027.4,7279.78
6,2024-06-13,176.8,2164.8375,11570.6,12051.2375
7,2024-06-27,1151.4,3121.76,17749.45,18465.6025
8,2024-07-11,2838,4153.18,25264,26304.97
9,2024-07-26,1226.4,4914.3975,33416.1,34779.8425
10,2024-08-08,117.6,5479.085,41551.95,43208.2425
11,2024-08-21,40.8,6469.35,49122.05,51202.625
12,2024-09-05,3,7428.485,56046.1,58473.09
13,2024-09-19,0.7,8356.98,63107.4,65126.285
14,2024-10-03,0.3,8851.26,68678.6,73743.8
15,2024-10-17,NA,9294.01,74158.25,82332.7625
16,2024-10-30,0,9704.4525,78860,90167.045
